character,in_degree_centrality,out_degree_centrality
神里绫华,0.13265306122448978,0.08163265306122448
早柚,0.08163265306122448,0.1020408163265306
鹿野院平藏,0.08163265306122448,0.08163265306122448
宵宫,0.1020408163265306,0.11224489795918366
托马,0.07142857142857142,0.12244897959183673
雷电将军,0.1530612244897959,0.11224489795918366
九条裟罗,0.14285714285714285,0.11224489795918366
神里绫人,0.061224489795918366,0.1020408163265306
八重神子,0.14285714285714285,0.13265306122448978
琴,0.19387755102040816,0.12244897959183673
优菈,0.08163265306122448,0.11224489795918366
丽莎,0.19387755102040816,0.14285714285714285
芭芭拉,0.11224489795918366,0.09183673469387754
诺艾尔,0.07142857142857142,0.07142857142857142
罗莎莉亚,0.0510204081632653,0.09183673469387754
砂糖,0.061224489795918366,0.09183673469387754
米卡,0.0510204081632653,0.08163265306122448
阿贝多,0.12244897959183673,0.061224489795918366
可莉,0.1530612244897959,0.11224489795918366
凯亚,0.13265306122448978,0.14285714285714285
迪卢克,0.12244897959183673,0.061224489795918366
安柏,0.11224489795918366,0.1020408163265306
赛诺,0.13265306122448978,0.09183673469387754
柯莱,0.09183673469387754,0.11224489795918366
菲谢尔,0.061224489795918366,0.0510204081632653
莫娜,0.061224489795918366,0.07142857142857142
雷泽,0.0510204081632653,0.061224489795918366
班尼特,0.061224489795918366,0.07142857142857142
温迪,0.11224489795918366,0.1020408163265306
塔利雅,0.04081632653061224,0.07142857142857142
迪奥娜,0.061224489795918366,0.09183673469387754
芙宁娜,0.1530612244897959,0.09183673469387754
香菱,0.1530612244897959,0.14285714285714285
凝光,0.14285714285714285,0.13265306122448978
北斗,0.1530612244897959,0.08163265306122448
钟离,0.16326530612244897,0.1020408163265306
夜兰,0.08163265306122448,0.08163265306122448
瑶瑶,0.07142857142857142,0.1020408163265306
白术,0.09183673469387754,0.09183673469387754
重云,0.07142857142857142,0.09183673469387754
嘉明,0.061224489795918366,0.12244897959183673
甘雨,0.13265306122448978,0.11224489795918366
爱可菲,0.08163265306122448,0.1020408163265306
胡桃,0.13265306122448978,0.13265306122448978
蓝砚,0.04081632653061224,0.07142857142857142
辛焱,0.08163265306122448,0.09183673469387754
行秋,0.12244897959183673,0.13265306122448978
云堇,0.09183673469387754,0.08163265306122448
申鹤,0.09183673469387754,0.11224489795918366
七七,0.08163265306122448,0.0510204081632653
魈,0.11224489795918366,0.08163265306122448
枫原万叶,0.09183673469387754,0.08163265306122448
烟绯,0.08163265306122448,0.1020408163265306
闲云,0.061224489795918366,0.11224489795918366
刻晴,0.12244897959183673,0.13265306122448978
达达利亚,0.0510204081632653,0.04081632653061224
丝柯克,0.01020408163265306,0.030612244897959183
阿蕾奇诺,0.0510204081632653,0.061224489795918366
流浪者,0.030612244897959183,0.07142857142857142
久岐忍,0.061224489795918366,0.061224489795918366
五郎,0.061224489795918366,0.09183673469387754
珊瑚宫心海,0.07142857142857142,0.08163265306122448
荒泷一斗,0.1020408163265306,0.09183673469387754
绮良良,0.061224489795918366,0.07142857142857142
梦见月瑞希,0.061224489795918366,0.1020408163265306
提纳里,0.12244897959183673,0.11224489795918366
艾尔海森,0.09183673469387754,0.07142857142857142
多莉,0.1020408163265306,0.09183673469387754
莱依拉,0.04081632653061224,0.08163265306122448
珐露珊,0.07142857142857142,0.08163265306122448
赛索斯,0.061224489795918366,0.09183673469387754
卡维,0.09183673469387754,0.08163265306122448
纳西妲,0.13265306122448978,0.1020408163265306
迪希雅,0.061224489795918366,0.09183673469387754
妮露,0.09183673469387754,0.07142857142857142
瓦雷莎,0.07142857142857142,0.08163265306122448
坎蒂丝,0.030612244897959183,0.061224489795918366
林尼,0.13265306122448978,0.09183673469387754
千织,0.09183673469387754,0.09183673469387754
娜维娅,0.12244897959183673,0.1020408163265306
夏洛蒂,0.12244897959183673,0.11224489795918366
那维莱特,0.14285714285714285,0.07142857142857142
琳妮特,0.1020408163265306,0.1020408163265306
艾梅莉埃,0.09183673469387754,0.09183673469387754
菲米尼,0.07142857142857142,0.08163265306122448
克洛琳德,0.11224489795918366,0.11224489795918366
夏沃蕾,0.0510204081632653,0.11224489795918366
希格雯,0.061224489795918366,0.11224489795918366
莱欧斯利,0.1020408163265306,0.08163265306122448
卡齐娜,0.07142857142857142,0.07142857142857142
伊安珊,0.09183673469387754,0.07142857142857142
恰斯卡,0.07142857142857142,0.08163265306122448
伊法,0.07142857142857142,0.08163265306122448
希诺宁,0.1020408163265306,0.09183673469387754
基尼奇,0.1020408163265306,0.09183673469387754
玛拉妮,0.09183673469387754,0.1020408163265306
茜特菈莉,0.1020408163265306,0.08163265306122448
玛薇卡,0.1020408163265306,0.11224489795918366
欧洛伦,0.04081632653061224,0.07142857142857142
